Customer_PO,Shipping_Method,Style,Color,Size,Shipped_Date,Customer,Season,shippingCountry,RESOLVED_BY,Qty,SHIP_KEY
4492,AIR,MCLSCB64,001 - SHEPHERD,31/32,07/04/25,GREYSON,,USA,,10,4492|AIR|MCLSCB64|001 - SHEPHERD|31/32
4492,AIR,MCLSCB64,001 - SHEPHERD,31/32,07/06/25,GREYSON,,USA,,1,4492|AIR|MCLSCB64|001 - SHEPHERD|31/32
4492,AIR,MCLSCB64,001 - SHEPHERD,34/32,07/04/25,GREYSON,,USA,,59,4492|AIR|MCLSCB64|001 - SHEPHERD|34/32
4492,AIR,MCLSCB64,001 - SHEPHERD,34/32,07/06/25,GREYSON,,USA,,3,4492|AIR|MCLSCB64|001 - SHEPHERD|34/32
4492,AIR,MCLSCB64,001 - SHEPHERD,35/32,07/04/25,GREYSON,,USA,,16,4492|AIR|MCLSCB64|001 - SHEPHERD|35/32
4492,AIR,MCLSCB64,001 - SHEPHERD,35/32,07/06/25,GREYSON,,USA,,8,4492|AIR|MCLSCB64|001 - SHEPHERD|35/32
4492,AIR,MCLSCB64,001 - SHEPHERD,36/34,07/04/25,GREYSON,,USA,,6,4492|AIR|MCLSCB64|001 - SHEPHERD|36/34
4492,AIR,MCLSCB64,001 - SHEPHERD,36/34,07/06/25,GREYSON,,USA,,1,4492|AIR|MCLSCB64|001 - SHEPHERD|36/34
4492,AIR,MCLSCB64,261 - RIVERSTONE,30/32,07/04/25,GREYSON,,USA,,16,4492|AIR|MCLSCB64|261 - RIVERSTONE|30/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,30/32,07/06/25,GREYSON,,USA,,13,4492|AIR|MCLSCB64|261 - RIVERSTONE|30/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,32/32,07/04/25,GREYSON,,USA,,25,4492|AIR|MCLSCB64|261 - RIVERSTONE|32/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,32/32,07/06/25,GREYSON,,USA,,36,4492|AIR|MCLSCB64|261 - RIVERSTONE|32/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,33/32,07/04/25,GREYSON,,USA,,12,4492|AIR|MCLSCB64|261 - RIVERSTONE|33/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,33/32,07/06/25,GREYSON,,USA,,15,4492|AIR|MCLSCB64|261 - RIVERSTONE|33/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,34/32,07/04/25,GREYSON,,USA,,13,4492|AIR|MCLSCB64|261 - RIVERSTONE|34/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,34/32,07/06/25,GREYSON,,USA,,43,4492|AIR|MCLSCB64|261 - RIVERSTONE|34/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,34/34,07/04/25,GREYSON,,USA,,2,4492|AIR|MCLSCB64|261 - RIVERSTONE|34/34
4492,AIR,MCLSCB64,261 - RIVERSTONE,34/34,07/06/25,GREYSON,,USA,,3,4492|AIR|MCLSCB64|261 - RIVERSTONE|34/34
4492,AIR,MCLSCB64,261 - RIVERSTONE,35/32,07/04/25,GREYSON,,USA,,15,4492|AIR|MCLSCB64|261 - RIVERSTONE|35/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,35/32,07/06/25,GREYSON,,USA,,8,4492|AIR|MCLSCB64|261 - RIVERSTONE|35/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,36/32,07/04/25,GREYSON,,USA,,27,4492|AIR|MCLSCB64|261 - RIVERSTONE|36/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,36/32,07/06/25,GREYSON,,USA,,26,4492|AIR|MCLSCB64|261 - RIVERSTONE|36/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,36/34,07/04/25,GREYSON,,USA,,4,4492|AIR|MCLSCB64|261 - RIVERSTONE|36/34
4492,AIR,MCLSCB64,261 - RIVERSTONE,36/34,07/06/25,GREYSON,,USA,,2,4492|AIR|MCLSCB64|261 - RIVERSTONE|36/34
4492,AIR,MCLSCB64,261 - RIVERSTONE,38/32,07/04/25,GREYSON,,USA,,20,4492|AIR|MCLSCB64|261 - RIVERSTONE|38/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,38/32,07/06/25,GREYSON,,USA,,4,4492|AIR|MCLSCB64|261 - RIVERSTONE|38/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,30/32,06/04/25,GREYSON,,USA,,17,4492|AIR|MCLSCB64|417 - MALTESE BLUE|30/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,30/32,07/04/25,GREYSON,,USA,,3,4492|AIR|MCLSCB64|417 - MALTESE BLUE|30/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,32/32,06/04/25,GREYSON,,USA,,44,4492|AIR|MCLSCB64|417 - MALTESE BLUE|32/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,32/32,07/04/25,GREYSON,,USA,,11,4492|AIR|MCLSCB64|417 - MALTESE BLUE|32/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,32/32,07/06/25,GREYSON,,USA,,3,4492|AIR|MCLSCB64|417 - MALTESE BLUE|32/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,33/32,06/04/25,GREYSON,,USA,,3,4492|AIR|MCLSCB64|417 - MALTESE BLUE|33/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,33/32,07/06/25,GREYSON,,USA,,13,4492|AIR|MCLSCB64|417 - MALTESE BLUE|33/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,34/32,06/04/25,GREYSON,,USA,,75,4492|AIR|MCLSCB64|417 - MALTESE BLUE|34/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,34/32,07/04/25,GREYSON,,USA,,10,4492|AIR|MCLSCB64|417 - MALTESE BLUE|34/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,35/32,06/04/25,GREYSON,,USA,,18,4492|AIR|MCLSCB64|417 - MALTESE BLUE|35/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,35/32,07/04/25,GREYSON,,USA,,1,4492|AIR|MCLSCB64|417 - MALTESE BLUE|35/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,35/32,07/06/25,GREYSON,,USA,,8,4492|AIR|MCLSCB64|417 - MALTESE BLUE|35/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,36/32,06/04/25,GREYSON,,USA,,46,4492|AIR|MCLSCB64|417 - MALTESE BLUE|36/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,36/32,07/04/25,GREYSON,,USA,,3,4492|AIR|MCLSCB64|417 - MALTESE BLUE|36/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,36/32,07/06/25,GREYSON,,USA,,2,4492|AIR|MCLSCB64|417 - MALTESE BLUE|36/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,38/32,06/04/25,GREYSON,,USA,,24,4492|AIR|MCLSCB64|417 - MALTESE BLUE|38/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,38/32,07/06/25,GREYSON,,USA,,1,4492|AIR|MCLSCB64|417 - MALTESE BLUE|38/32
4492,AIR,MCLSCK74,001 - SHEPHERD,2XL,06/04/25,GREYSON,,USA,,69,4492|AIR|MCLSCK74|001 - SHEPHERD|2XL
4492,AIR,MCLSCK74,001 - SHEPHERD,2XL,07/06/25,GREYSON,,USA,,4,4492|AIR|MCLSCK74|001 - SHEPHERD|2XL
4492,AIR,MCLSCK74,001 - SHEPHERD,L,06/04/25,GREYSON,,USA,,374111,4492|AIR|MCLSCK74|001 - SHEPHERD|L
4492,AIR,MCLSCK74,001 - SHEPHERD,L,07/06/25,GREYSON,,USA,,5,4492|AIR|MCLSCK74|001 - SHEPHERD|L
4492,AIR,MCLSCK74,001 - SHEPHERD,M,06/04/25,GREYSON,,USA,,316,4492|AIR|MCLSCK74|001 - SHEPHERD|M
4492,AIR,MCLSCK74,001 - SHEPHERD,M,07/06/25,GREYSON,,USA,,5,4492|AIR|MCLSCK74|001 - SHEPHERD|M
4492,AIR,MCLSCK74,001 - SHEPHERD,S,06/04/25,GREYSON,,USA,,69,4492|AIR|MCLSCK74|001 - SHEPHERD|S
4492,AIR,MCLSCK74,001 - SHEPHERD,S,07/06/25,GREYSON,,USA,,1,4492|AIR|MCLSCK74|001 - SHEPHERD|S
4492,AIR,MCLSCK74,001 - SHEPHERD,XL,06/04/25,GREYSON,,USA,,24735,4492|AIR|MCLSCK74|001 - SHEPHERD|XL
4492,AIR,MCLSCK74,001 - SHEPHERD,XL,07/06/25,GREYSON,,USA,,12,4492|AIR|MCLSCK74|001 - SHEPHERD|XL
4492,AIR,MCLSCK74,051 - SMOKE HEATHER,2XL,06/04/25,GREYSON,,USA,,1136,4492|AIR|MCLSCK74|051 - SMOKE HEATHER|2XL
4492,AIR,MCLSCK74,051 - SMOKE HEATHER,2XL,07/06/25,GREYSON,,USA,,4,4492|AIR|MCLSCK74|051 - SMOKE HEATHER|2XL
4492,AIR,MCLSCK74,051 - SMOKE HEATHER,L,06/04/25,GREYSON,,USA,,20228,4492|AIR|MCLSCK74|051 - SMOKE HEATHER|L
4492,AIR,MCLSCK74,051 - SMOKE HEATHER,L,07/06/25,GREYSON,,USA,,13,4492|AIR|MCLSCK74|051 - SMOKE HEATHER|L
4492,AIR,MCLSCK74,051 - SMOKE HEATHER,M,06/04/25,GREYSON,,USA,,22120,4492|AIR|MCLSCK74|051 - SMOKE HEATHER|M
4492,AIR,MCLSCK74,051 - SMOKE HEATHER,M,07/04/25,GREYSON,,USA,,14,4492|AIR|MCLSCK74|051 - SMOKE HEATHER|M
4492,AIR,MCLSCK74,051 - SMOKE HEATHER,M,07/06/25,GREYSON,,USA,,7,4492|AIR|MCLSCK74|051 - SMOKE HEATHER|M
4492,AIR,MCLSCK74,051 - SMOKE HEATHER,XL,06/04/25,GREYSON,,USA,,19144,4492|AIR|MCLSCK74|051 - SMOKE HEATHER|XL
4492,AIR,MCLSCK74,051 - SMOKE HEATHER,XL,07/04/25,GREYSON,,USA,,9,4492|AIR|MCLSCK74|051 - SMOKE HEATHER|XL
4492,AIR,MCLSCK74,051 - SMOKE HEATHER,XL,07/06/25,GREYSON,,USA,,12,4492|AIR|MCLSCK74|051 - SMOKE HEATHER|XL
4492,AIR,MCLSCK74,417 - MALTESE BLUE,2XL,06/04/25,GREYSON,,USA,,13314,4492|AIR|MCLSCK74|417 - MALTESE BLUE|2XL
4492,AIR,MCLSCK74,417 - MALTESE BLUE,2XL,07/04/25,GREYSON,,USA,,9,4492|AIR|MCLSCK74|417 - MALTESE BLUE|2XL
4492,AIR,MCLSCK74,417 - MALTESE BLUE,2XL,07/06/25,GREYSON,,USA,,3,4492|AIR|MCLSCK74|417 - MALTESE BLUE|2XL
4492,AIR,MCLSCK74,417 - MALTESE BLUE,L,06/04/25,GREYSON,,USA,,38152350,4492|AIR|MCLSCK74|417 - MALTESE BLUE|L
4492,AIR,MCLSCK74,417 - MALTESE BLUE,L,07/04/25,GREYSON,,USA,,76,4492|AIR|MCLSCK74|417 - MALTESE BLUE|L
4492,AIR,MCLSCK74,417 - MALTESE BLUE,L,07/06/25,GREYSON,,USA,,45,4492|AIR|MCLSCK74|417 - MALTESE BLUE|L
4492,AIR,MCLSCK74,417 - MALTESE BLUE,M,06/04/25,GREYSON,,USA,,18250,4492|AIR|MCLSCK74|417 - MALTESE BLUE|M
4492,AIR,MCLSCK74,417 - MALTESE BLUE,M,07/04/25,GREYSON,,USA,,240,4492|AIR|MCLSCK74|417 - MALTESE BLUE|M
4492,AIR,MCLSCK74,417 - MALTESE BLUE,M,07/06/25,GREYSON,,USA,,88,4492|AIR|MCLSCK74|417 - MALTESE BLUE|M
4492,AIR,MCLSCK74,417 - MALTESE BLUE,S,06/04/25,GREYSON,,USA,,19826,4492|AIR|MCLSCK74|417 - MALTESE BLUE|S
4492,AIR,MCLSCK74,417 - MALTESE BLUE,S,07/04/25,GREYSON,,USA,,29,4492|AIR|MCLSCK74|417 - MALTESE BLUE|S
4492,AIR,MCLSCK74,417 - MALTESE BLUE,S,07/06/25,GREYSON,,USA,,10,4492|AIR|MCLSCK74|417 - MALTESE BLUE|S
4492,AIR,MCLSCK74,417 - MALTESE BLUE,XL,06/04/25,GREYSON,,USA,,31308,4492|AIR|MCLSCK74|417 - MALTESE BLUE|XL
4492,AIR,MCLSCK74,417 - MALTESE BLUE,XL,07/04/25,GREYSON,,USA,,37,4492|AIR|MCLSCK74|417 - MALTESE BLUE|XL
4492,AIR,MCLSCK74,417 - MALTESE BLUE,XL,07/06/25,GREYSON,,USA,,29,4492|AIR|MCLSCK74|417 - MALTESE BLUE|XL
4492,AIR,MFA21K74,100 - ARCTIC,2XL,06/04/25,GREYSON,,USA,,661534,4492|AIR|MFA21K74|100 - ARCTIC|2XL
4492,AIR,MFA21K74,100 - ARCTIC,2XL,07/06/25,GREYSON,,USA,,31,4492|AIR|MFA21K74|100 - ARCTIC|2XL
4492,AIR,MFA21K74,100 - ARCTIC,L,06/04/25,GREYSON,,USA,,25218220,4492|AIR|MFA21K74|100 - ARCTIC|L
4492,AIR,MFA21K74,100 - ARCTIC,L,07/04/25,GREYSON,,USA,,77,4492|AIR|MFA21K74|100 - ARCTIC|L
4492,AIR,MFA21K74,100 - ARCTIC,L,07/06/25,GREYSON,,USA,,101,4492|AIR|MFA21K74|100 - ARCTIC|L
4492,AIR,MFA21K74,100 - ARCTIC,M,06/04/25,GREYSON,,USA,,211185181,4492|AIR|MFA21K74|100 - ARCTIC|M
4492,AIR,MFA21K74,100 - ARCTIC,M,07/04/25,GREYSON,,USA,,49,4492|AIR|MFA21K74|100 - ARCTIC|M
4492,AIR,MFA21K74,100 - ARCTIC,M,07/06/25,GREYSON,,USA,,72,4492|AIR|MFA21K74|100 - ARCTIC|M
4492,AIR,MFA21K74,100 - ARCTIC,S,06/04/25,GREYSON,,USA,,177829,4492|AIR|MFA21K74|100 - ARCTIC|S
4492,AIR,MFA21K74,100 - ARCTIC,S,07/06/25,GREYSON,,USA,,26,4492|AIR|MFA21K74|100 - ARCTIC|S
4492,AIR,MFA21K74,100 - ARCTIC,XL,06/04/25,GREYSON,,USA,,197112,4492|AIR|MFA21K74|100 - ARCTIC|XL
4492,AIR,MFA21K74,100 - ARCTIC,XL,07/04/25,GREYSON,,USA,,29,4492|AIR|MFA21K74|100 - ARCTIC|XL
4492,AIR,MFA21K74,100 - ARCTIC,XL,07/06/25,GREYSON,,USA,,77,4492|AIR|MFA21K74|100 - ARCTIC|XL
4492,AIR,MFA22B68,262 - STONE,30,06/04/25,GREYSON,,USA,,30,4492|AIR|MFA22B68|262 - STONE|30
4492,AIR,MFA22B68,262 - STONE,30,07/06/25,GREYSON,,USA,,2,4492|AIR|MFA22B68|262 - STONE|30
4492,AIR,MFA22B68,262 - STONE,31,06/04/25,GREYSON,,USA,,14,4492|AIR|MFA22B68|262 - STONE|31
4492,AIR,MFA22B68,262 - STONE,31,07/06/25,GREYSON,,USA,,8,4492|AIR|MFA22B68|262 - STONE|31
4492,AIR,MFA22B68,262 - STONE,32,06/04/25,GREYSON,,USA,,87,4492|AIR|MFA22B68|262 - STONE|32
4492,AIR,MFA22B68,262 - STONE,32,07/06/25,GREYSON,,USA,,34,4492|AIR|MFA22B68|262 - STONE|32
4492,AIR,MFA22B68,262 - STONE,34,06/04/25,GREYSON,,USA,,140,4492|AIR|MFA22B68|262 - STONE|34
4492,AIR,MFA22B68,262 - STONE,34,07/06/25,GREYSON,,USA,,26,4492|AIR|MFA22B68|262 - STONE|34
4492,AIR,MFA22B68,262 - STONE,36,06/04/25,GREYSON,,USA,,121,4492|AIR|MFA22B68|262 - STONE|36
4492,AIR,MFA22B68,262 - STONE,36,07/06/25,GREYSON,,USA,,24,4492|AIR|MFA22B68|262 - STONE|36
4492,AIR,MFA22B68,262 - STONE,40,06/04/25,GREYSON,,USA,,29,4492|AIR|MFA22B68|262 - STONE|40
4492,AIR,MFA22B68,262 - STONE,40,07/06/25,GREYSON,,USA,,1,4492|AIR|MFA22B68|262 - STONE|40
4492,AIR,MSP24O56,417 - MALTESE BLUE,2XL,06/04/25,GREYSON,,USA,,49,4492|AIR|MSP24O56|417 - MALTESE BLUE|2XL
4492,AIR,MSP24O56,417 - MALTESE BLUE,2XL,07/06/25,GREYSON,,USA,,12,4492|AIR|MSP24O56|417 - MALTESE BLUE|2XL
4492,AIR,MSP24O56,417 - MALTESE BLUE,L,06/04/25,GREYSON,,USA,,60,4492|AIR|MSP24O56|417 - MALTESE BLUE|L
4492,AIR,MSP24O56,417 - MALTESE BLUE,L,07/06/25,GREYSON,,USA,,44,4492|AIR|MSP24O56|417 - MALTESE BLUE|L
4492,AIR,MSP24O56,417 - MALTESE BLUE,M,06/04/25,GREYSON,,USA,,76,4492|AIR|MSP24O56|417 - MALTESE BLUE|M
4492,AIR,MSP24O56,417 - MALTESE BLUE,M,07/06/25,GREYSON,,USA,,11,4492|AIR|MSP24O56|417 - MALTESE BLUE|M
4492,AIR,MSP24O56,417 - MALTESE BLUE,S,06/04/25,GREYSON,,USA,,23,4492|AIR|MSP24O56|417 - MALTESE BLUE|S
4492,AIR,MSP24O56,417 - MALTESE BLUE,S,07/06/25,GREYSON,,USA,,8,4492|AIR|MSP24O56|417 - MALTESE BLUE|S
4492,AIR,MSP24O56,417 - MALTESE BLUE,XL,06/04/25,GREYSON,,USA,,63,4492|AIR|MSP24O56|417 - MALTESE BLUE|XL
4492,AIR,MSP24O56,417 - MALTESE BLUE,XL,07/06/25,GREYSON,,USA,,3,4492|AIR|MSP24O56|417 - MALTESE BLUE|XL
4526,AIR,LFA23B07,001 - SHEPHERD,S,06/04/25,GREYSON,,USA,,6512,4526|AIR|LFA23B07|001 - SHEPHERD|S
4526,AIR,LFA23B07,001 - SHEPHERD,S,07/06/25,GREYSON,,USA,,3,4526|AIR|LFA23B07|001 - SHEPHERD|S
4526,AIR,LSP25K47,100 - ARCTIC,L,07/04/25,GREYSON,,USA,,19,4526|AIR|LSP25K47|100 - ARCTIC|L
4526,AIR,LSP25K47,100 - ARCTIC,L,22/05/25,GREYSON,,USA,,46,4526|AIR|LSP25K47|100 - ARCTIC|L
4526,AIR,LSP25K47,100 - ARCTIC,M,07/04/25,GREYSON,,USA,,35,4526|AIR|LSP25K47|100 - ARCTIC|M
4526,AIR,LSP25K47,100 - ARCTIC,M,22/05/25,GREYSON,,USA,,57,4526|AIR|LSP25K47|100 - ARCTIC|M
4526,AIR,LSP25K47,100 - ARCTIC,S,07/04/25,GREYSON,,USA,,9,4526|AIR|LSP25K47|100 - ARCTIC|S
4526,AIR,LSP25K47,100 - ARCTIC,S,22/05/25,GREYSON,,USA,,87,4526|AIR|LSP25K47|100 - ARCTIC|S
4526,AIR,LSP25K47,873 - AGAVE,L,06/04/25,GREYSON,,USA,,45,4526|AIR|LSP25K47|873 - AGAVE|L
4526,AIR,LSP25K47,873 - AGAVE,L,22/05/25,GREYSON,,USA,,20,4526|AIR|LSP25K47|873 - AGAVE|L
4526,AIR,LSP25K47,873 - AGAVE,M,06/04/25,GREYSON,,USA,,68,4526|AIR|LSP25K47|873 - AGAVE|M
4526,AIR,LSP25K47,873 - AGAVE,M,22/05/25,GREYSON,,USA,,19,4526|AIR|LSP25K47|873 - AGAVE|M
